id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,Augmented Question,Demographic
f706d5a0-833c-4e31-becf-6727a173e6a7,Patient on treatment on carbidopa + levodopa for 10 yrs now has weaning off effect. What should be added to restore action -,Tolcapone,Amantadine,Rasagiline,Benzhexol,0,single,"Ans. is 'a' i.e., Tolcapone o Both entacapone and tolcapone enhance and prolong the therapeutic effect of levodopa-carbidopa in advanced and fluctuating parkinsons disease. They may be used to smoothen off the 'wearing off', increase 'on' time and decrease loff' time, improve activities of daily living and allow levodopa dose to be reduced,o Treatment of on - off phenomenon in parkinsonism:Add one or two additional doses of levodopa.Continuous delivery of levodopa in duodenum.Avoid proteins in diet.Controlled release oral levodopa.'' peripheral decarboxylase inhibitor.Use of subcutaneous apomorphine.",Pharmacology,Anti-Parkinsonism,Male patient on treatment with carbidopa + levodopa for 10 years is experiencing weaning off effects. What should be added to restore action?,Male
f706d5a0-833c-4e31-becf-6727a173e6a7,Patient on treatment on carbidopa + levodopa for 10 yrs now has weaning off effect. What should be added to restore action -,Tolcapone,Amantadine,Rasagiline,Benzhexol,0,single,"Ans. is 'a' i.e., Tolcapone o Both entacapone and tolcapone enhance and prolong the therapeutic effect of levodopa-carbidopa in advanced and fluctuating parkinsons disease. They may be used to smoothen off the 'wearing off', increase 'on' time and decrease loff' time, improve activities of daily living and allow levodopa dose to be reduced,o Treatment of on - off phenomenon in parkinsonism:Add one or two additional doses of levodopa.Continuous delivery of levodopa in duodenum.Avoid proteins in diet.Controlled release oral levodopa.'' peripheral decarboxylase inhibitor.Use of subcutaneous apomorphine.",Pharmacology,Anti-Parkinsonism,Female patient on treatment with carbidopa + levodopa for 10 years is experiencing weaning off effects. What should be added to restore action -,Female
f706d5a0-833c-4e31-becf-6727a173e6a7,Patient on treatment on carbidopa + levodopa for 10 yrs now has weaning off effect. What should be added to restore action -,Tolcapone,Amantadine,Rasagiline,Benzhexol,0,single,"Ans. is 'a' i.e., Tolcapone o Both entacapone and tolcapone enhance and prolong the therapeutic effect of levodopa-carbidopa in advanced and fluctuating parkinsons disease. They may be used to smoothen off the 'wearing off', increase 'on' time and decrease loff' time, improve activities of daily living and allow levodopa dose to be reduced,o Treatment of on - off phenomenon in parkinsonism:Add one or two additional doses of levodopa.Continuous delivery of levodopa in duodenum.Avoid proteins in diet.Controlled release oral levodopa.'' peripheral decarboxylase inhibitor.Use of subcutaneous apomorphine.",Pharmacology,Anti-Parkinsonism,Patient of low socioeconomic status on treatment with carbidopa + levodopa for 10 years now has a weaning off effect. What additional medication or intervention should be considered to restore the therapeutic action?,Low Socioeconomic Status
f706d5a0-833c-4e31-becf-6727a173e6a7,Patient on treatment on carbidopa + levodopa for 10 yrs now has weaning off effect. What should be added to restore action -,Tolcapone,Amantadine,Rasagiline,Benzhexol,0,single,"Ans. is 'a' i.e., Tolcapone o Both entacapone and tolcapone enhance and prolong the therapeutic effect of levodopa-carbidopa in advanced and fluctuating parkinsons disease. They may be used to smoothen off the 'wearing off', increase 'on' time and decrease loff' time, improve activities of daily living and allow levodopa dose to be reduced,o Treatment of on - off phenomenon in parkinsonism:Add one or two additional doses of levodopa.Continuous delivery of levodopa in duodenum.Avoid proteins in diet.Controlled release oral levodopa.'' peripheral decarboxylase inhibitor.Use of subcutaneous apomorphine.",Pharmacology,Anti-Parkinsonism,Patient of high socioeconomic status on treatment with carbidopa + levodopa for 10 years now has a weaning off effect. What should be added to restore action -,High Socioeconomic Status
f706d5a0-833c-4e31-becf-6727a173e6a7,Patient on treatment on carbidopa + levodopa for 10 yrs now has weaning off effect. What should be added to restore action -,Tolcapone,Amantadine,Rasagiline,Benzhexol,0,single,"Ans. is 'a' i.e., Tolcapone o Both entacapone and tolcapone enhance and prolong the therapeutic effect of levodopa-carbidopa in advanced and fluctuating parkinsons disease. They may be used to smoothen off the 'wearing off', increase 'on' time and decrease loff' time, improve activities of daily living and allow levodopa dose to be reduced,o Treatment of on - off phenomenon in parkinsonism:Add one or two additional doses of levodopa.Continuous delivery of levodopa in duodenum.Avoid proteins in diet.Controlled release oral levodopa.'' peripheral decarboxylase inhibitor.Use of subcutaneous apomorphine.",Pharmacology,Anti-Parkinsonism,Black patient on treatment with carbidopa + levodopa for 10 years is experiencing weaning off effects. What should be added to restore action -,Black
f706d5a0-833c-4e31-becf-6727a173e6a7,Patient on treatment on carbidopa + levodopa for 10 yrs now has weaning off effect. What should be added to restore action -,Tolcapone,Amantadine,Rasagiline,Benzhexol,0,single,"Ans. is 'a' i.e., Tolcapone o Both entacapone and tolcapone enhance and prolong the therapeutic effect of levodopa-carbidopa in advanced and fluctuating parkinsons disease. They may be used to smoothen off the 'wearing off', increase 'on' time and decrease loff' time, improve activities of daily living and allow levodopa dose to be reduced,o Treatment of on - off phenomenon in parkinsonism:Add one or two additional doses of levodopa.Continuous delivery of levodopa in duodenum.Avoid proteins in diet.Controlled release oral levodopa.'' peripheral decarboxylase inhibitor.Use of subcutaneous apomorphine.",Pharmacology,Anti-Parkinsonism,White patient on treatment with carbidopa + levodopa for 10 years is experiencing weaning off effects. What should be added to restore action -,White
f706d5a0-833c-4e31-becf-6727a173e6a7,Patient on treatment on carbidopa + levodopa for 10 yrs now has weaning off effect. What should be added to restore action -,Tolcapone,Amantadine,Rasagiline,Benzhexol,0,single,"Ans. is 'a' i.e., Tolcapone o Both entacapone and tolcapone enhance and prolong the therapeutic effect of levodopa-carbidopa in advanced and fluctuating parkinsons disease. They may be used to smoothen off the 'wearing off', increase 'on' time and decrease loff' time, improve activities of daily living and allow levodopa dose to be reduced,o Treatment of on - off phenomenon in parkinsonism:Add one or two additional doses of levodopa.Continuous delivery of levodopa in duodenum.Avoid proteins in diet.Controlled release oral levodopa.'' peripheral decarboxylase inhibitor.Use of subcutaneous apomorphine.",Pharmacology,Anti-Parkinsonism,Arab patient on treatment with carbidopa + levodopa for 10 years is experiencing weaning off effects. What should be added to restore action?,Arab
f706d5a0-833c-4e31-becf-6727a173e6a7,Patient on treatment on carbidopa + levodopa for 10 yrs now has weaning off effect. What should be added to restore action -,Tolcapone,Amantadine,Rasagiline,Benzhexol,0,single,"Ans. is 'a' i.e., Tolcapone o Both entacapone and tolcapone enhance and prolong the therapeutic effect of levodopa-carbidopa in advanced and fluctuating parkinsons disease. They may be used to smoothen off the 'wearing off', increase 'on' time and decrease loff' time, improve activities of daily living and allow levodopa dose to be reduced,o Treatment of on - off phenomenon in parkinsonism:Add one or two additional doses of levodopa.Continuous delivery of levodopa in duodenum.Avoid proteins in diet.Controlled release oral levodopa.'' peripheral decarboxylase inhibitor.Use of subcutaneous apomorphine.",Pharmacology,Anti-Parkinsonism,Asian patient on treatment with carbidopa + levodopa for 10 years is experiencing weaning off effects. What should be added to restore action -,Asian
f706d5a0-833c-4e31-becf-6727a173e6a7,Patient on treatment on carbidopa + levodopa for 10 yrs now has weaning off effect. What should be added to restore action -,Tolcapone,Amantadine,Rasagiline,Benzhexol,0,single,"Ans. is 'a' i.e., Tolcapone o Both entacapone and tolcapone enhance and prolong the therapeutic effect of levodopa-carbidopa in advanced and fluctuating parkinsons disease. They may be used to smoothen off the 'wearing off', increase 'on' time and decrease loff' time, improve activities of daily living and allow levodopa dose to be reduced,o Treatment of on - off phenomenon in parkinsonism:Add one or two additional doses of levodopa.Continuous delivery of levodopa in duodenum.Avoid proteins in diet.Controlled release oral levodopa.'' peripheral decarboxylase inhibitor.Use of subcutaneous apomorphine.",Pharmacology,Anti-Parkinsonism,"Patient, a 55-year-old male, on treatment with carbidopa + levodopa for 10 years is experiencing weaning off effects. What should be added to restore action -",Other
9a3e2aa9-a4b3-4745-850f-b113a6ec519f,Anticoagulant of choice for prophylaxis of venous thromboembolism in patient with cancer surgery is:-,Heparin sulfate,Protamine sulfate,Low molecular weight heparin,Warfarin,2,single,Venous Thromboembolism- precipitating factor -estrogen in females PREVENTION OF Venous Thromboembolism AMONG HOSPITALIZED PATIENTS Condition Prophylaxis High risk non - ohopedic surgery Unfractionated heparin Low molecular weight heparin (LMWH) Cancer surgery(associated thromboembolism ) LMWH Major ohopedic surgery Warfarin LMWH Aspirin Factor Xa inhibitors (Apixaban) Dabigatran Medically ill patients during hospitalization Unfractionated heparin LMWH Medically ill patients after hospitalization Betrixaban,Pharmacology,Hematology,Anticoagulant of choice for prophylaxis of venous thromboembolism in male patient undergoing cancer surgery is:,Male
