id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
f706d5a0-833c-4e31-becf-6727a173e6a7,Patient on treatment on carbidopa + levodopa for 10 yrs now has weaning off effect. What should be added to restore action -,Tolcapone,Amantadine,Rasagiline,Benzhexol,0,single,"Ans. is 'a' i.e., Tolcapone o Both entacapone and tolcapone enhance and prolong the therapeutic effect of levodopa-carbidopa in advanced and fluctuating parkinsons disease. They may be used to smoothen off the 'wearing off', increase 'on' time and decrease loff' time, improve activities of daily living and allow levodopa dose to be reduced,o Treatment of on - off phenomenon in parkinsonism:Add one or two additional doses of levodopa.Continuous delivery of levodopa in duodenum.Avoid proteins in diet.Controlled release oral levodopa.'' peripheral decarboxylase inhibitor.Use of subcutaneous apomorphine.",Pharmacology,Anti-Parkinsonism
9a3e2aa9-a4b3-4745-850f-b113a6ec519f,Anticoagulant of choice for prophylaxis of venous thromboembolism in patient with cancer surgery is:-,Heparin sulfate,Protamine sulfate,Low molecular weight heparin,Warfarin,2,single,Venous Thromboembolism- precipitating factor -estrogen in females PREVENTION OF Venous Thromboembolism AMONG HOSPITALIZED PATIENTS Condition Prophylaxis High risk non - ohopedic surgery Unfractionated heparin Low molecular weight heparin (LMWH) Cancer surgery(associated thromboembolism ) LMWH Major ohopedic surgery Warfarin LMWH Aspirin Factor Xa inhibitors (Apixaban) Dabigatran Medically ill patients during hospitalization Unfractionated heparin LMWH Medically ill patients after hospitalization Betrixaban,Pharmacology,Hematology
23637300-9b66-4e37-bfac-6dcd82e06399,A patient with hypeension is also having aoic dissection. Anti-hypeensive agent of choice is: September 2008,Sodium nitroprusside,Reserpine,Pindolol,Nifedipine,0,single,"Ans. A: Sodium Nitroprusside Antihypeensive therapy in acute aoic dissection aims specifically to lessen pulsatile load or aoic stress, in order to retard the propagation of the dissection and prevent aoic rupture. The goals of treatment are to prevent myocardial ischemia, decrease left ventricular afterload, decrease myocardial oxygen consumption, and prevent rupture and bleeding from suture lines Nitroprusside is a potent direct aerial and venous dilator, acting through release of nitric oxide. It has a rapid onset of action, and a shoer half-life and thus is given in the form of continuous infusion. The hypotensive effects of nitroprusside can be unpredictable because it simultaneously causes potent venodilatation and peripheral aerial vasodilatation. This is especially the case for patients with severe left ventricular hyperophy and preload-dependent diastolic dysfunction. It has been shown to cause coronary steal; it can cause a significant reflex tachycardia, and it can decrease oxygen circulation. It is photosensitive, so it requires special handling. Its most serious adverse effect is in the form of cyanide toxicity, which occurs due to accumulation of its metabolites thiocyanate/ cyanide and its clinical presentation may vary leading to difficulty in diagnosis. Thus, it is recommended that this drug be used only when other intravenous antihypeensive agents are not available",Pharmacology,
465b08cd-0b2a-4fa8-b136-65fcf0fcaf57,Drug of choice for schizophrenic patient with poor oral absorption is:,Haloperidol,Fluphenazine,Clozapine,Olanzapie,2,single,Clozapine,Psychiatry,
57e7248e-85a1-4b07-8a23-3002573f0850,A 26-year-old patient presents with suspected pneumococcal meningitis. CSF culture is sent for antibiotic sensitivity. Which empirical antibiotic should be given until culture sensitivity result come?,Penicillin G,Ceftriaxone + metronidazole,Doxycycline,Cefotaxime + vancomycin,3,single,,Pharmacology,
19b8af6f-07a9-49af-a65d-ddb5e69fb77b,Patients on isoniazid which vitamin deficiency is more likely to be seen.,Vitamin B9,Vitamin B12,Vitamin B6,Vitamin B3,2,single,"Ans. (c) Vitamin B6Ref. KDT 6th ed. / 740-41* For patients who are on isoniazid; peripheral neuropathy is observed in 10-20% of patients given dosages greater than 5 mg/kg/d but is infrequently seen with the standard 300 mg adult dose.* Pyridoxine (Vit B6), 25-50 mg/d, is recommended for those with conditions predisposing to neuropathy, an adverse effect of isoniazid.* NOTE: Isoniazid as a single agent is also indicated for treatment of latent tuberculosis. The dosage is 300 mg/d (5 mg/kg/d) or 900 mg twice weekly for 9 months.",Pharmacology,Anti-Tuberculosis
056c803e-5f6e-49c9-b17f-392735994496,"If somebody develops resistance to INH, patient will develop simultaneously resistance to which drug?",Streptomycin,Rifampicin,Ethambutol,Pyrazinamide,1,single,"Ref: KD Tripathi, 7th ed. pg. 767* Rifampicin is considered as effective as isoniazid. This agent is active against slow and intermittently dividing bacterium (spurters).* If someone develops resistance to INH, they are most likely to develop resistance to rifampicin as well.* In MDR-TB, there is resistance to INH and rifampicin.",Pharmacology,Anti Microbial
46e4e352-d153-43c9-bf21-5452e1cc87f2,An old patient Ram Kishore having asthma and glaucoma is to receive a b blocker. Regarding b blocking drugs:,Metoprolol blocks b2 receptors selectively,Esmolol's pharmacokinetics are compatible with chronic topical use,Nadolol lacks b2 blocking action,Timolol lacks the local anaesthetic effects of propanolol,3,single,Metoprolol is a cardioselective (b1 selective) blocker and not b2 selective. Esmolol is the shoest acting b -blocker and is useful for acute treatment. Nadolol is a non-selective b-blocker. It blocks both b1 as well as b2 receptors. Propanolol possesses maximum local anaesthetic activity whereas timolol lacks this propey.,Pharmacology,ANS
d9339321-fa74-47df-ac54-74534194171e,"A patient presents to emergency with pinpoint pupil, salivation, lacrimation, tremors and red tears. Plasma cholinesterase level was 30% of normal. Most probable Diagnosis is:",Organophosphate poisoning,Datura poisoning,Opioid poisoning,Pontine hemorrhage,0,single,"Ans. (A) Organophosphate poisoning(Ref: Katzung 12/e p110)These are characteristic features of anti-cholinestearse (organophosphate and carbamate) poisoning.Features of Organophosphate poisoning:* Muscarinic symptoms: Pin point pupil, salivation, lacrimation, urination, defecation, gastrointestinal distress, vomiting, bronchospasm, bradycardia* Nicotinic symptoms: Fasciculations and fibrillations of muscle, tachycardia, tachypnea* CNS symptoms: Temors, giddiness, ataxia, coma* Red tears: Due to accumulation of porphyrin in the lacrimal glands",Pharmacology,A.N.S.
0746e4e2-9087-4f07-ac87-b93772287bdd,Patient on verapamil should not be given beta blocker as ?,Conduction block,Bronchospasm,Neurogenic shock,Anaphylaxis,0,single,"Ans. is 'a' i.e., Conduction block Adverse effects of CCBs Nausea, constipation and bradycardia are more common with verapamil. Verapamil can accentuate conduction defect-should be avoided in 2nd & 3rd degree block, in sick sinus syndrome and along with 13-blocker. Most common side effects of DHPs are palpitation, flushing, hypotension, headache, ankle edema, drowsiness and nausea. Nifedipine can paradoxically increase the frequency of angina in some patients. Nifedine can cause voiding difficulty in elderly (relaxant effect on bladder) and glucose intolerance (decreases insulin release).",Pharmacology,
65323036-8156-43dd-b8b0-913d30ab6e78,Which drug does not need dose adjustment in a patient with creatinine clearance of,Ciprofloxacin,Sparfloxacin,Lomefloxacin,Trovafloxacin,3,single,"Dose adjustment is not required for Trovafloxacin, Moxifloxacin, Pefloxacin and Nalidixic acid for patient with decreased creatinine clearence. Trovafloxacin will cause liver damage and increase in liver enzymes. So it is contraindicated in patients with active liver disease. Ref: Sherwood L. Gorbach, John G. Balett, Neil R. Blacklo (2004), Chapter 26, ""Quinolones"", ""Infectious Diesases"", 3rd Edition, Lippincott Publications, USA, Page 253 ; Kalzung, 9th Edition, Page 779.",Pharmacology,
462857f3-87d2-4104-acfa-1d8a6b586ed0,"A 80 kg patient is brought in causality. Patient is in shock. Vaso-pressure is to be staed micro/kg/min. Vial has 200 mg in 5 ml, 2 ls diluted in 250 ml NS. 16 drops is equal to 1 ml. Calculate drops per minute required",8,16,24,32,0,single,250 ml of NS contains 200 mg x 2 = 400 mg vaso-pressure1 ml NS contains = 1.6 mg vaso-pressureVaso-pressure staed 10 micro/kg/min or 80 x 10 micro g/min = 800 micro g/min or 0.8 mg /minVaso-pressure staed 0.8 mg/ min 0r 0.5 ml/ min (1 ml NS contains = 1.6 mg vaso-pressure) or 8 drops/ min (1 ml = 16 drops),Pharmacology,All India exam
4a94ecd6-8e38-4e43-ae92-a260bdc4e54a,A young patient of schizophrenia is intolerant to anti-psychotic medications. Which drug is most preferred for such a patient: March 2012,Clozapine,Olanzapine,Riseperidone,Haloperidol,0,single,"Ans: A i.e. ClozapineAbout 30% of patients do not respond to antipsychotics, or are intolerant to them, usually because of extrapyramidal side effects. The only proven drug intervention for this group is clozapine, which is effective in between a third and a half of such patients.",Psychiatry,
c8e6c557-4695-4d31-b60d-0ab19081c647,Digoxin can accumulate to toxic levels in patients with:,Renal insufficiency,Chronic hepatitis,Advanced cirrhosis,Chronic pancreatitis,0,single,"Digoxin is primarily excreted unchanged by the kidney, mainly by glomerular filtration. Rate of excretion is altered parallel to creatinine clearance. Its  t½  is prolonged in elderly patients and in those with renal insufficiency: dose has to be reduced. 
Digoxin is a cumulative drug. When maintenance doses are given from the beginning, steady state levels and full therapeutic effect are attained after 4 x t½, i.e. 6-7 days.
Reference: Essentials of Medical Pharmacology Eighth Edition KD  TRIPATHI  page no 560",Pharmacology,
ea60617b-8675-4d64-9d10-d372377faf33,Sodium valprote in patient with bipolar mood disorder can cause -,Peripheral neuropathy,Hepatotoxicity,Renal failure,Cystitis,1,single,"Ans is 'b' i.e., Hepatotoxicity Adverse effect of Valproate1) Neurological - Ataxia, sedation,tremor2) Systemic- Hepatotoxicity, thromobocytopenia,GI irritation, weight gain, transient alopecia, hyperammonemia, pancreatitis,coagulation disorder",Pharmacology,Epilepsy
7e183c01-dddf-4ed8-b81e-407133dfaac5,Insulin of choice in a patient with Diabetic ketoacidosis?,Lispro,Deterimer,Aspart,Regular Insulin,3,single,Regular Insulin is short acting formulation given intravenously in cases of Diabetic ketoacidosis.,Pharmacology,
3b8da52d-16c5-43fa-b14f-290c4a4d9173,"A patient presents to emergency with a pinpoint pupil, salivation lacrimation, tremors and red tears. Plasma cholinesterase level Was 30% of normal. Most probable Diagnosis is:",Organophospahte Poisoning,Dhatura Poisoning,Opioid Poisoning,Pontine hemorrhage,0,single,"organophosphates are anticholinesterases so it reduces cholinesterase level.
op compounds have muscurnic, nicotinic, and central actions so it causes lacrimation, salivation, tremors.",Pharmacology,
090dd0f7-c0f5-44f5-9562-2c891efc1947,Patient complaints of muscle weakness. It was rivers on administration of neostigmine because,It blocks action of acetylcholine,It interferes with the action of monoamine oxidase,It interferes with the action of carbonic anhydrase,Interferes with the action of Acetyl chlolinesterase,3,single,"(Ref: Katzung 11/e p105) Neostigmine acts by inhibiting the enzyme acetylcholinesterase. This enzyme is involved in degradation of ACh,consequently neostigmine inereases the synaptic level of ACh. Muscle weakness can be improved by stimulation of NM receptors at muscle end plate due to increased ACh.",Pharmacology,Autonomic nervous system
114bc4d9-ca6c-4a72-8256-86594abc75af,Propanolol is contraindicated in a patient of angina pectoris who is already receiving:,Nifedipine,Aspirin,Verapamil,Isosorbide mononitrate,2,single,"Propanolol is a b-blocker. Verapamil should not be given with b blockers because additive sinus depression, conduction defects or asystole may occur.",Pharmacology,"CHF, Angina Pectoris and Myocardial Infarction"
56bc1cff-31d5-4dd9-b5fe-cbbd2d171e46,Aspirin is contraindicated in a patient who in on treatment with :,Prednisolone,Warfarin,Theophyline,Oral contraceptives,1,single,,Pharmacology,
5baee0bb-9a16-44d9-bf8c-34cc0166f8cc,Infection in HIV patients resistant to Fluconazole is treated with,Nystatin,Amphotericin b,Itraconazole,Clotrimazole,2,single,,Pharmacology,
