id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,Augmented Question,Demographic
6bbd2c35-9dfc-4234-905f-334b5f7e593b,Most common cause dementia in adult:,Alzheimer's,Multiinfarct,Pick' disease,Metabolic cause,0,single,A i.e. Alzheimer's,Psychiatry,,Most common cause of dementia in adult males:,Male
6bbd2c35-9dfc-4234-905f-334b5f7e593b,Most common cause dementia in adult:,Alzheimer's,Multiinfarct,Pick' disease,Metabolic cause,0,single,A i.e. Alzheimer's,Psychiatry,,Most common cause of dementia in adult females:,Female
6bbd2c35-9dfc-4234-905f-334b5f7e593b,Most common cause dementia in adult:,Alzheimer's,Multiinfarct,Pick' disease,Metabolic cause,0,single,A i.e. Alzheimer's,Psychiatry,,Most common cause of dementia in adults from low socioeconomic status:,Low Socioeconomic Status
6bbd2c35-9dfc-4234-905f-334b5f7e593b,Most common cause dementia in adult:,Alzheimer's,Multiinfarct,Pick' disease,Metabolic cause,0,single,A i.e. Alzheimer's,Psychiatry,,"Most common cause of dementia in adults, particularly those with High Socioeconomic Status:",High Socioeconomic Status
6bbd2c35-9dfc-4234-905f-334b5f7e593b,Most common cause dementia in adult:,Alzheimer's,Multiinfarct,Pick' disease,Metabolic cause,0,single,A i.e. Alzheimer's,Psychiatry,,Most common cause of dementia in Black adults:,Black
6bbd2c35-9dfc-4234-905f-334b5f7e593b,Most common cause dementia in adult:,Alzheimer's,Multiinfarct,Pick' disease,Metabolic cause,0,single,A i.e. Alzheimer's,Psychiatry,,Most common cause of dementia in White adults:,White
6bbd2c35-9dfc-4234-905f-334b5f7e593b,Most common cause dementia in adult:,Alzheimer's,Multiinfarct,Pick' disease,Metabolic cause,0,single,A i.e. Alzheimer's,Psychiatry,,Most common cause of dementia in Arab adults:,Arab
6bbd2c35-9dfc-4234-905f-334b5f7e593b,Most common cause dementia in adult:,Alzheimer's,Multiinfarct,Pick' disease,Metabolic cause,0,single,A i.e. Alzheimer's,Psychiatry,,Most common cause of dementia in Asian adults:,Asian
6bbd2c35-9dfc-4234-905f-334b5f7e593b,Most common cause dementia in adult:,Alzheimer's,Multiinfarct,Pick' disease,Metabolic cause,0,single,A i.e. Alzheimer's,Psychiatry,,"Most common cause of dementia in adults, including the demographic variable 'Other':",Other
ca637d73-a24a-4097-8ad7-0d518edb9c1f,Ebstein's anomaly may be a complication of which drug when used during first trimester of pregnancy:,Sodium valproate,Lamotrigine,Lithium carbonate,Carbamazepine,2,single,Ans. C. Lithium carbonate* Teratogenic effect of Lithium:* cardiac defect - Ebstein anomaly* Apical displacement of septal posterior tricuspid valve (arterialization of right ventricle),Psychiatry,Pharmacotherapy In Psychiatry,Ebstein's anomaly may be a complication of which drug when used during the first trimester of pregnancy in females:,Female
ca637d73-a24a-4097-8ad7-0d518edb9c1f,Ebstein's anomaly may be a complication of which drug when used during first trimester of pregnancy:,Sodium valproate,Lamotrigine,Lithium carbonate,Carbamazepine,2,single,Ans. C. Lithium carbonate* Teratogenic effect of Lithium:* cardiac defect - Ebstein anomaly* Apical displacement of septal posterior tricuspid valve (arterialization of right ventricle),Psychiatry,Pharmacotherapy In Psychiatry,Ebstein's anomaly may be a complication of which drug when used during the first trimester of pregnancy in individuals of low socioeconomic status:,Low Socioeconomic Status
ca637d73-a24a-4097-8ad7-0d518edb9c1f,Ebstein's anomaly may be a complication of which drug when used during first trimester of pregnancy:,Sodium valproate,Lamotrigine,Lithium carbonate,Carbamazepine,2,single,Ans. C. Lithium carbonate* Teratogenic effect of Lithium:* cardiac defect - Ebstein anomaly* Apical displacement of septal posterior tricuspid valve (arterialization of right ventricle),Psychiatry,Pharmacotherapy In Psychiatry,Ebstein's anomaly may be a complication of which drug when used during the first trimester of pregnancy in individuals of high socioeconomic status:,High Socioeconomic Status
ca637d73-a24a-4097-8ad7-0d518edb9c1f,Ebstein's anomaly may be a complication of which drug when used during first trimester of pregnancy:,Sodium valproate,Lamotrigine,Lithium carbonate,Carbamazepine,2,single,Ans. C. Lithium carbonate* Teratogenic effect of Lithium:* cardiac defect - Ebstein anomaly* Apical displacement of septal posterior tricuspid valve (arterialization of right ventricle),Psychiatry,Pharmacotherapy In Psychiatry,Ebstein's anomaly may be a complication of which drug when used during the first trimester of pregnancy in Black women:,Black
ca637d73-a24a-4097-8ad7-0d518edb9c1f,Ebstein's anomaly may be a complication of which drug when used during first trimester of pregnancy:,Sodium valproate,Lamotrigine,Lithium carbonate,Carbamazepine,2,single,Ans. C. Lithium carbonate* Teratogenic effect of Lithium:* cardiac defect - Ebstein anomaly* Apical displacement of septal posterior tricuspid valve (arterialization of right ventricle),Psychiatry,Pharmacotherapy In Psychiatry,Ebstein's anomaly may be a complication of which drug when used during the first trimester of pregnancy in White women:,White
ca637d73-a24a-4097-8ad7-0d518edb9c1f,Ebstein's anomaly may be a complication of which drug when used during first trimester of pregnancy:,Sodium valproate,Lamotrigine,Lithium carbonate,Carbamazepine,2,single,Ans. C. Lithium carbonate* Teratogenic effect of Lithium:* cardiac defect - Ebstein anomaly* Apical displacement of septal posterior tricuspid valve (arterialization of right ventricle),Psychiatry,Pharmacotherapy In Psychiatry,Ebstein's anomaly may be a complication of which drug when used during the first trimester of pregnancy in Arab women:,Arab
